ID,Work Item Type,Title 1,Title 2,Description,Acceptance Criteria,State,Area Path,Iteration Path,Story Points,Priority,Tags
,Task,,Implement the single-event endpoint by slug,,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E11-Discovery
,Product Backlog Item,As an attendee I can review my order before paying so that I know what I am being charged,,Checkout summary showing exactly what will be taken.,"The total is the plain sum of tier prices in the event currency, with no hidden booking fee added.",Done,TicketFlow\Frontend,TicketFlow\Sprint 4,5,1,E3-Sales
,Task,,"Build the summary UI component listing tiers, quantities and total",,,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,,,E3-Sales
,Task,,Validate the order state before payment can begin,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,,,E3-Sales
,Task,,Show the total in the event currency and state that no booking fee is added,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,,,E3-Sales
,Product Backlog Item,As an attendee I can choose a payment method so that I can pay how I prefer,,Paystack checkout initialisation.,Checkout refuses to open if the organiser has no payout account or the gateway key is missing.,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,8,1,E3-Sales
,Task,,Integrate the Paystack SDK on the checkout page,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,,,E3-Sales
,Task,,Implement the payment intent endpoint returning the checkout configuration,,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E3-Sales
,Product Backlog Item,As an attendee I receive a receipt and confirmation so that I know the purchase succeeded,,Webhook-driven confirmation and the ticket email.,The webhook signature is verified against the raw body; the ticket is emailed only after a verified charge.,Done,TicketFlow\Backend,TicketFlow\Sprint 4,8,1,E3-Sales
,Task,,Implement the webhook handler verifying the Paystack HMAC against the raw body,,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E3-Sales
,Task,,Confirm the booking and send the ticket email only after a verified charge,,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E3-Sales
,Task,,Show the success state with the booking reference,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,,,E3-Sales
,Product Backlog Item,As an attendee I can open my ticket with its QR so that I can be admitted at the door,,The digital ticket and the My Tickets list.,The QR encodes the scannable ticket identifier; the on-screen ticket matches the emailed one.,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,5,1,E3-Sales
,Task,,Generate a unique ticket identifier and QR per booking,,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E3-Sales
,Task,,Build the digital ticket page styled to match the email template,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,,,E3-Sales
,Task,,Add the My Tickets list,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,,,E3-Sales
,Product Backlog Item,As a visitor I can buy a ticket without creating an account so that nothing blocks the sale,,Guest checkout capturing a name and an email.,The booking is attached to an email rather than a user; the ticket still arrives and still scans.,Done,TicketFlow\Backend,TicketFlow\Sprint 4,5,1,E3-Sales
,Task,,Capture buyer name and email at checkout for guests,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,,,E3-Sales
,Task,,Attach the booking to an email rather than a user when there is no account,,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E3-Sales
,Product Backlog Item,As an organiser inventory is held during checkout and released if payment never completes so that abandoned baskets cost nothing,,"Reservation, expiry and release.",The last ticket cannot be sold twice under concurrent purchase; a lapsed hold returns to sale automatically.,Done,TicketFlow\Backend,TicketFlow\Sprint 4,8,1,E3-Sales
,Task,,Reserve inventory and write a pending booking inside a transaction,,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E3-Sales
,Task,,Run an in-process sweeper releasing lapsed holds on an interval,,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E3-Sales
,Task,,Write concurrency tests proving the last ticket cannot be sold twice,,,Done,TicketFlow\QA,TicketFlow\Sprint 4,,,E3-Sales
,Product Backlog Item,As the platform every order is priced on the server so that a buyer cannot set their own price,,"Server-authoritative pricing, closing a real defect where the client supplied the amount.",A tampered client payload is ignored; the charge always matches the event's own tier prices.,Done,TicketFlow\Backend,TicketFlow\Sprint 4,8,1,E3-Sales
,Task,,Move pricing into a server-side pricing service reading the event's own tiers,,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E3-Sales
,Task,,Ignore any client-supplied price and recompute the expected amount,,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E3-Sales
,Task,,Add tests attempting to buy a high-value ticket for a token amount,,,Done,TicketFlow\QA,TicketFlow\Sprint 4,,,E3-Sales
,Product Backlog Item,As the platform we take a percentage fee via split settlement so that the business earns from each sale,,"Platform fee applied as a Paystack split, settling the organiser directly.",The fee is computed in minor units and rounded down; the organiser bears the gateway charge.,Done,TicketFlow\Backend,TicketFlow\Sprint 4,8,2,E12-Revenue
,Task,,"Compute the platform fee in minor units, rounding down",,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E12-Revenue
,Task,,Attach the subaccount and transaction charge to the Paystack transaction,,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E12-Revenue
,Task,,Cover the fee arithmetic with unit tests,,,Done,TicketFlow\QA,TicketFlow\Sprint 4,,,E12-Revenue
,Product Backlog Item,As an organiser I can connect a payout account so that I am paid directly,,"Bank selection, account resolution and subaccount creation, in the application.",The subaccount code is never returned to the browser; paid events refuse to sell until a payout account exists.,Done,TicketFlow\Backend,TicketFlow\Sprint 4,5,2,E12-Revenue
,Task,,Build the payout onboarding screen with bank selection and account resolution,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,,,E12-Revenue
,Task,,Create the Paystack subaccount and store its code without ever exposing it,,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E12-Revenue
,Task,,Refuse to sell paid tickets until the organiser can be paid,,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E12-Revenue
,Product Backlog Item,As an organiser I can watch arrivals live so that I can manage the door,,Live dashboard driven by server-sent events.,The dashboard is populated on connect from a snapshot and updates without a refresh as scans arrive.,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,13,1,E6-LiveOps
,Task,,"Build the live dashboard with capacity, sold and admitted counts",,,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,,,E6-LiveOps
,Task,,Stream admission events over SSE from an in-process event bus,,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E6-LiveOps
,Task,,Send a point-in-time snapshot so the dashboard is populated before the next scan,,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E6-LiveOps
,Product Backlog Item,As an organiser I can review scan anomalies so that fraud is visible,,"Rule-based anomaly detection over the audit log, running locally.","Repeated rejects, multiple devices and rapid sequential scans are flagged; manual entries are excluded.",Done,TicketFlow\Data & ML,TicketFlow\Sprint 4,8,2,E7-Intelligence
,Task,,Define the anomaly rules and thresholds,,,Done,TicketFlow\Data & ML,TicketFlow\Sprint 4,,,E7-Intelligence
,Task,,Surface flagged tickets on the live dashboard,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,,,E7-Intelligence
,Task,,Exclude manual check-ins from detection,,,Done,TicketFlow\Data & ML,TicketFlow\Sprint 4,,,E7-Intelligence
,Product Backlog Item,As an organiser I see expected no-shows so that I can plan capacity,,"Offline-trained model shipped as portable weights, scored at request time.",Both ticket buyers and invited guests are scored; the model is evaluated with a published offline report.,Done,TicketFlow\Data & ML,TicketFlow\Sprint 4,8,2,E7-Intelligence
,Task,,Train the model offline and ship portable weights,,,Done,TicketFlow\Data & ML,TicketFlow\Sprint 4,,,E7-Intelligence
,Task,,"Score pending bookings, covering ticket buyers and invited guests alike",,,Done,TicketFlow\Data & ML,TicketFlow\Sprint 4,,,E7-Intelligence
,Task,,Publish an offline evaluation report with metrics,,,Done,TicketFlow\QA,TicketFlow\Sprint 4,,,E7-Intelligence
,Product Backlog Item,As an attendee I can join Meet and Greet so that I can network with other attendees,,Per-event attendee network with a public channel.,"Eligibility is a valid booking, not a role; posting additionally requires the event to be live.",Done,TicketFlow\Frontend,TicketFlow\Sprint 4,13,2,E9-Networking
,Task,,Build the Meet and Greet page with the directory and public chat,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,,,E9-Networking
,Task,,Stream messages and presence over SSE,,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E9-Networking
,Task,,Gate access on holding a non-revoked booking for the event,,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E9-Networking
,Product Backlog Item,As a guest without an account I can join Meet and Greet with an emailed code so that no account is required,,One-time code proving control of the booking email.,"The response is identical whether or not the address holds a ticket, so it cannot be used to enumerate attendees.",Done,TicketFlow\Backend,TicketFlow\Sprint 4,8,2,E9-Networking
,Task,,Build the code request and verification screens,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,,,E9-Networking
,Task,,Issue and verify a one-time code against the booking email,,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E9-Networking
,Task,,Return an identical response whether or not the address holds a ticket,,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E9-Networking
,Product Backlog Item,As an attendee I can opt in to the directory and send direct messages so that I control my visibility,,Directory opt-in and one-to-one messaging.,A user who has not opted in does not appear in the directory.,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,5,3,E9-Networking
,Task,,Add the opt-in toggle and the direct message thread,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,,,E9-Networking
,Task,,Persist opt-in state and message threads,,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E9-Networking
,Product Backlog Item,As an organiser I am notified when Meet and Greet opens so that I can bring my attendees in,,Notification reaching every eligible attendee.,"The notification reaches both invited guests and ticket buyers, proven by test.",Done,TicketFlow\Backend,TicketFlow\Sprint 4,5,3,E9-Networking
,Task,,Send the notification to both invited guests and ticket buyers,,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E9-Networking
,Task,,Add a test asserting both sources are covered,,,Done,TicketFlow\QA,TicketFlow\Sprint 4,,,E9-Networking
,Product Backlog Item,As an organiser I can see my revenue and daily earnings so that I know what I am owed,,"Revenue reporting per event and in total, with a daily series.",Figures cover confirmed payments only; the series sums exactly to the headline totals.,Done,TicketFlow\Backend,TicketFlow\Sprint 4,8,1,E12-Revenue
,Task,,"Aggregate gross, platform fee and net per event and in total",,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E12-Revenue
,Task,,Build the stat tiles and the daily earnings column chart,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,,,E12-Revenue
,Task,,Zero-fill days with no sales so a quiet period is visible rather than compressed,,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E12-Revenue
,Product Backlog Item,As an administrator I can see platform fee income separately from my own events so that the two are never confused,,Scoped revenue with an admin-only platform view.,"The platform figure is the fee alone, not the gross; a non-admin requesting the platform scope is refused.",Done,TicketFlow\Backend,TicketFlow\Sprint 4,5,2,E12-Revenue
,Task,,Add scope handling with the platform scope restricted to admins,,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E12-Revenue
,Task,,Add My events and Platform tabs to the revenue page,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,,,E12-Revenue
,Task,,Headline the platform figure as the fee alone,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,,,E12-Revenue
,Product Backlog Item,As an organiser only I or an admin can see my sales and booker list so that attendee data is not exposed,,Closing a broken access control defect on the sales view.,Another organiser requesting the same event is refused; the fix is covered by regression tests.,Done,TicketFlow\Backend,TicketFlow\Sprint 4,5,1,E8-Quality
,Task,,Enforce the same ownership rule on the bookings endpoint as on the dashboard,,,Done,TicketFlow\Backend,TicketFlow\Sprint 4,,,E8-Quality
,Task,,Add regression tests that fail against the pre-fix code,,,Done,TicketFlow\QA,TicketFlow\Sprint 4,,,E8-Quality
,Product Backlog Item,As the team the product is documented and demonstrable so that it can be assessed,,"Technical documentation, diagrams and the demonstration video.",Every diagram exists as a rendered image as well as source; the demo runs end to end from a seeded environment.,Done,TicketFlow\QA,TicketFlow\Sprint 4,8,1,E8-Quality
,Task,,"Write the technical documentation, quality model and feature testing guide",,,Done,TicketFlow\QA,TicketFlow\Sprint 4,,,E8-Quality
,Task,,"Produce the use case, architecture and data flow diagrams with rendered images",,,Done,TicketFlow\QA,TicketFlow\Sprint 4,,,E8-Quality
,Task,,Record the demonstration video from a seeded environment,,,Done,TicketFlow\QA,TicketFlow\Sprint 4,,,E8-Quality
,Product Backlog Item,As the team coverage is measured and published so that quality is evidenced,,Coverage generated in CI and published to a reporting service.,Coverage is produced for both packages; publication is skipped cleanly when the token is absent.,Committed,TicketFlow\DevOps,TicketFlow\Sprint 4,3,2,E8-Quality
,Task,,Generate lcov coverage for both packages in CI,,,Done,TicketFlow\DevOps,TicketFlow\Sprint 4,,,E8-Quality
,Task,,Upload coverage to the reporting service behind a repository secret,Needs repository admin to add the project and create the secret.,,Committed,TicketFlow\DevOps,TicketFlow\Sprint 4,,,E8-Quality
,Product Backlog Item,As the team the stack can be deployed so that it runs outside a developer machine,,"Deployment target for the API and the web application. Images publish to a registry today, but nothing pulls and runs them.",A deployed environment serves the application over HTTPS with production configuration.,New,TicketFlow\DevOps,TicketFlow\Sprint 4,5,3,E8-Quality
,Task,,Choose a hosting target for the API and the web application,,,New,TicketFlow\DevOps,TicketFlow\Sprint 4,,,E8-Quality
,Task,,Configure production environment variables and secrets,,,New,TicketFlow\DevOps,TicketFlow\Sprint 4,,,E8-Quality
,Task,,Run a deployment from the published images,,,New,TicketFlow\DevOps,TicketFlow\Sprint 4,,,E8-Quality
